id,category,name,type,description,folder,file_count,status,github_url,branch,created_date,last_updated
1,Root,copilot-instructions,file,Repository file: copilot-instructions.md,.github,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/.github/copilot-instructions.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
2,Root,.gitignore,file,Repository file: .gitignore,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/.gitignore,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
3,Root,.gitkeep,file,Repository file: .gitkeep,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/.gitkeep,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
4,Root,CLAUDE,file,Repository file: CLAUDE.md,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/CLAUDE.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
5,Root,INDEX,file,Repository file: INDEX.md,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/INDEX.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
6,Root,LICENSE,file,Repository file: LICENSE,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/LICENSE,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
7,Root,ORGANIZATION,file,Repository file: ORGANIZATION.md,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/ORGANIZATION.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
8,Root,README,file,Repository file: README.md,.,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/README.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
9,Agents,AI_Agent_Core_Instructions,file,Agent instructions: AI_Agent_Core_Instructions.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/AI_Agent_Core_Instructions.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
10,Agents,Biography_Memoir_Writer_Agent,file,Agent instructions: Biography_Memoir_Writer_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/Biography_Memoir_Writer_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
11,Agents,Compare two outputs WITHOUT knowing which skill produced them_AGENT,file,Agent instructions: Compare two outputs WITHOUT knowing which skill produced them_AGENT.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/Compare two outputs WITHOUT knowing which skill produced them_AGENT.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
12,Agents,Critical_Analysis_PostHoc_Agent,file,Agent instructions: Critical_Analysis_PostHoc_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/Critical_Analysis_PostHoc_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
13,Agents,Daily_Living_Productivity_Agent,file,Agent instructions: Daily_Living_Productivity_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/Daily_Living_Productivity_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
14,Agents,ELT365_Micro_Course_Publisher_Agent,file,Agent instructions: ELT365_Micro_Course_Publisher_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/ELT365_Micro_Course_Publisher_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
15,Agents,ELT_Teaching_Master_Agent,file,Agent instructions: ELT_Teaching_Master_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/ELT_Teaching_Master_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
16,Agents,Job_Application_Career_Agent,file,Agent instructions: Job_Application_Career_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/Job_Application_Career_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
17,Agents,Legal_Regulatory_Dossier_Agent,file,Agent instructions: Legal_Regulatory_Dossier_Agent.md,agents,1,active,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/agents/Legal_Regulatory_Dossier_Agent.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
