id,category,name,type,description,folder,file_count,status,github_url,branch,created_date,last_updated
1,skills,alzheimers-adhd-daily-support,skill_package,Daily support for Alzheimers and ADHD with evals,skills/alzheimers-adhd-daily-support,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/alzheimers-adhd-daily-support,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
2,skills,api-reference,skill_package,API reference documentation skill,skills/api-reference,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/api-reference,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
3,skills,biography-interview-kit-private-master,skill_package,Private master biography interview kit with evals,skills/biography-interview-kit-private-master,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/biography-interview-kit-private-master,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
4,skills,biography-interview-kit-public,skill_package,Public biography interview kit with evals,skills/biography-interview-kit-public,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/biography-interview-kit-public,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
5,skills,biography-memoir-system,skill_package,Full biography and memoir writing system with evals,skills/biography-memoir-system,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/biography-memoir-system,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
6,skills,brainstorming-matrix,skill_package,Structured brainstorming using matrix analysis,skills/brainstorming-matrix,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/brainstorming-matrix,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
7,skills,cambridge-writer,skill_package,Cambridge-style academic writing with evals and instructions,skills/cambridge-writer,3,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/cambridge-writer,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
8,skills,content-research-writer,skill_package,Content research and writing automation,skills/content-research-writer,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/content-research-writer,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
9,skills,data-analysis,skill_package,Data analysis skill with instructions,skills/data-analysis,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/data-analysis,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
10,skills,deep-brainstorm,skill_package,Deep brainstorming skill with instructions,skills/deep-brainstorm,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/deep-brainstorm,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
11,skills,defense-in-depth-hardening,skill_package,Security defense-in-depth hardening skill,skills/defense-in-depth-hardening,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/defense-in-depth-hardening,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
12,skills,dual-biography-interview-skill-v2,skill_package,Dual biography interview skill v2 with evals,skills/dual-biography-interview-skill-v2,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/dual-biography-interview-skill-v2,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
13,skills,empathetic-listening,skill_package,Empathetic listening skill with evals,skills/empathetic-listening,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/empathetic-listening,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
14,skills,empathic-listening-psychology,skill_package,Psychology-informed empathic listening with evals and instructions,skills/empathic-listening-psychology,3,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/empathic-listening-psychology,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
15,skills,epub-pdf-analyzer,skill_package,EPUB and PDF document analysis skill,skills/epub-pdf-analyzer,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/epub-pdf-analyzer,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
16,skills,family-memory-deep-probe-reliability,skill_package,Family memory elicitation with reliability probing and evals,skills/family-memory-deep-probe-reliability,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/family-memory-deep-probe-reliability,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
17,skills,ffuf-security-fuzzer,skill_package,Security fuzzing with ffuf for web vulnerability discovery,skills/ffuf-security-fuzzer,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/ffuf-security-fuzzer,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
18,skills,finishing-dev-branch,skill_package,Dev branch completion and cleanup skill,skills/finishing-dev-branch,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/finishing-dev-branch,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
19,skills,health-information-advisor,skill_package,Health information advisory skill with evals,skills/health-information-advisor,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/health-information-advisor,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
20,skills,investigative-psychology,skill_package,Investigative psychology analysis skill,skills/investigative-psychology,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/investigative-psychology,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
21,skills,investigative-research,skill_package,Deep investigative research skill with instructions,skills/investigative-research,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/investigative-research,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
22,skills,invoice-file-organizer,skill_package,Invoice and file organization skill,skills/invoice-file-organizer,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/invoice-file-organizer,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
23,skills,job-search-agent,skill_package,Job search automation skill with instructions,skills/job-search-agent,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/job-search-agent,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
24,skills,legal-analysis-compliance,skill_package,Legal analysis and compliance skill with evals and instructions,skills/legal-analysis-compliance,3,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/legal-analysis-compliance,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
25,skills,legacy/SKILL_celta_lesson_teacher_v1,skill_legacy,Legacy CELTA lesson teacher skill v1,skills/legacy,1,archived,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/skills/legacy/SKILL_celta_lesson_teacher_v1.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
26,skills,legacy/SKILL_elt_elicitor_v1,skill_legacy,Legacy ELT elicitor skill v1,skills/legacy,1,archived,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/skills/legacy/SKILL_elt_elicitor_v1.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
27,skills,legacy/SKILL_elt_essay_teacher_v1,skill_legacy,Legacy ELT essay teacher skill v1,skills/legacy,1,archived,https://github.com/sourovdeb/ai_agent_skills/blob/claude/jolly-fermi-gkbw49/skills/legacy/SKILL_elt_essay_teacher_v1.md,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
28,skills,life-history-elicitation,skill_package,Life history elicitation skill with instructions,skills/life-history-elicitation,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/life-history-elicitation,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
29,skills,medical-information-advisor,skill_package,Medical information advisory with evals and instructions,skills/medical-information-advisor,3,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/medical-information-advisor,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
30,skills,memory-elicitation-interview-skill,skill_package,Memory elicitation interview skill with evals,skills/memory-elicitation-interview-skill,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/memory-elicitation-interview-skill,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
31,skills,objective-first,skill_package,Objective-first task planning skill with instructions,skills/objective-first,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/objective-first,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
32,skills,pragmatic-productivity,skill_package,Pragmatic productivity skill with evals and instructions,skills/pragmatic-productivity,3,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/pragmatic-productivity,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
33,skills,prompt-architect,skill_package,Prompt engineering and architecture skill,skills/prompt-architect,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/prompt-architect,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
34,skills,psychology-agent,skill_package,Psychology analysis agent with instructions,skills/psychology-agent,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/psychology-agent,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
35,skills,pypict-combinatorial-qa,skill_package,Combinatorial QA testing with PyPICT,skills/pypict-combinatorial-qa,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/pypict-combinatorial-qa,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
36,skills,self-debate,skill_package,Self-debate reasoning skill with instructions,skills/self-debate,2,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/self-debate,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
37,skills,self-hosting-infra-advisor,skill_package,Self-hosting infrastructure advisory skill,skills/self-hosting-infra-advisor,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/self-hosting-infra-advisor,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
38,skills,skill-creator,skill_package,Framework for creating new AI skills,skills/skill-creator,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/skill-creator,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
39,skills,skill-seekers,skill_package,Skill discovery and matching framework,skills/skill-seekers,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/skill-seekers,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
40,skills,structured-interviewer,skill_package,Structured interviewing with evals and instructions,skills/structured-interviewer,3,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/structured-interviewer,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
41,skills,superpowers,skill_package,Superpowers capability amplification skill,skills/superpowers,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/superpowers,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
42,skills,superpowers-lab,skill_package,Experimental superpowers lab skill,skills/superpowers-lab,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/superpowers-lab,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
43,skills,system-design,skill_package,System architecture and design skill,skills/system-design,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/system-design,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
44,skills,systematic-debugging,skill_package,Systematic debugging methodology skill,skills/systematic-debugging,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/systematic-debugging,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
45,skills,tapestry-knowledge-graphs,skill_package,Knowledge graph creation and management skill,skills/tapestry-knowledge-graphs,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/tapestry-knowledge-graphs,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
46,skills,test-driven-development,skill_package,Test-driven development methodology skill,skills/test-driven-development,1,active,https://github.com/sourovdeb/ai_agent_skills/tree/claude/jolly-fermi-gkbw49/skills/test-driven-development,claude/jolly-fermi-gkbw49,2026-07-26,2026-07-26
